userID,genreID,score
1,1,0.090011
1,2,0.070663
1,3,0.09373
1,4,0.078518
1,5,0.131465
1,6,0.023882
1,7,0
1,8,0.148455
1,9,0.01242
1,10,0
1,11,0
1,12,0.132756
1,13,0
1,14,0.049041
1,15,0.038632
1,16,0.122581
1,17,0.007845
1,18,0
2,1,0.136725
2,2,0.037444
2,3,0
2,4,0
2,5,0.189199
2,6,0.037561
2,7,0
2,8,0.209858
2,9,0.003566
2,10,0
2,11,0
2,12,0
2,13,0.01807
2,14,0.102505
2,15,0.039064
2,16,0.19108
2,17,0.027878
2,18,0.00705
3,1,0.088603
3,2,0.110425
3,3,0.053305
3,4,0.053305
3,5,0.153009
3,6,0
3,7,0
3,8,0.145833
3,9,0.017118
3,10,0
3,11,0.013978
3,12,0.019163
3,13,0
3,14,0.022669
3,15,0.043815
3,16,0.136389
3,17,0
3,18,0.142388
4,1,0.115176
4,2,0.103463
4,3,0.005717
4,4,0.027293
4,5,0.005717
4,6,0.105663
4,7,0.005717
4,8,0.110841
4,9,0.022727
4,10,0.005717
4,11,0.11002
4,12,0.005717
4,13,0.005717
4,14,0.103269
4,15,0.113369
4,16,0.034043
4,17,0.015127
4,18,0.104707
5,1,0.066999
5,2,0.039634
5,3,0
5,4,0.005312
5,5,0.114553
5,6,0.112061
5,7,0.107935
5,8,0.119185
5,9,0
5,10,0.004065
5,11,0.108924
5,12,0
5,13,0
5,14,0.03446
5,15,0.064406
5,16,0.110771
5,17,0.006393
5,18,0.105301
6,1,0.098703
6,2,0.04962
6,3,0.045582
6,4,0.07597
6,5,0.119546
6,6,0
6,7,0
6,8,0.11699
6,9,0.012579
6,10,0
6,11,0
6,12,0.120997
6,13,0
6,14,0.08039
6,15,0.013604
6,16,0.119508
6,17,0.022408
6,18,0.124103
7,1,0.14772
7,2,0.053883
7,3,0
7,4,0
7,5,0.143888
7,6,0.025316
7,7,0
7,8,0.151384
7,9,0
7,10,0
7,11,0.142202
7,12,0
7,13,0.027784
7,14,0.042401
7,15,0.065426
7,16,0.150668
7,17,0.049327
7,18,0
8,1,0.103486
8,2,0.067121
8,3,0
8,4,0.029448
8,5,0.154136
8,6,0.050224
8,7,0
8,8,0.170782
8,9,0
8,10,0
8,11,0.006372
8,12,0.009531
8,13,0.010503
8,14,0.0775
8,15,0.146847
8,16,0.148089
8,17,0.023618
8,18,0.002344
9,1,0.070035
9,2,0.037365
9,3,0.085348
9,4,0.026119
9,5,0.116028
9,6,0.108973
9,7,0.113341
9,8,0.11803
9,9,0
9,10,0.005207
9,11,0
9,12,0
9,13,0.008355
9,14,0.049414
9,15,0.028799
9,16,0.107777
9,17,0.017468
9,18,0.107741
10,1,0.081582
10,2,0.088533
10,3,0.043146
10,4,0.08321
10,5,0.130969
10,6,0.013798
10,7,0
10,8,0.131578
10,9,0.042147
10,10,0.007403
10,11,0
10,12,0.1282
10,13,0
10,14,0.072695
10,15,0.123986
10,16,0.040587
10,17,0.012165
10,18,0
11,1,0.066366
11,2,0.07713
11,3,0.003944
11,4,0.016521
11,5,0.165519
11,6,0.032274
11,7,0.151519
11,8,0.158574
11,9,0.013862
11,10,0
11,11,0
11,12,0.009645
11,13,0.030254
11,14,0.085907
11,15,0.028596
11,16,0.145935
11,17,0.008345
11,18,0.005611
12,1,0.066617
12,2,0.099624
12,3,0.005692
12,4,0.025339
12,5,0.113578
12,6,0.052342
12,7,0.005692
12,8,0.12378
12,9,0.005692
12,10,0.074376
12,11,0.10137
12,12,0.005692
12,13,0.040439
12,14,0.019974
12,15,0.100885
12,16,0.099192
12,17,0.054023
12,18,0.005692
13,1,0.105285
13,2,0.1358
13,3,0.005788
13,4,0.03358
13,5,0.075181
13,6,0.041554
13,7,0
13,8,0.141504
13,9,0.041628
13,10,0.00764
13,11,0.007455
13,12,0.009372
13,13,0.022919
13,14,0.047062
13,15,0.122729
13,16,0.14671
13,17,0.041646
13,18,0.014148
14,1,0.106839
14,2,0
14,3,0
14,4,0
14,5,0.12707
14,6,0.116168
14,7,0
14,8,0.129556
14,9,0
14,10,0
14,11,0.115515
14,12,0
14,13,0.027618
14,14,0.105803
14,15,0.042456
14,16,0.115489
14,17,0.113485
14,18,0
15,1,0.107944
15,2,0.089314
15,3,0.00564
15,4,0.022883
15,5,0.149119
15,6,0.060849
15,7,0
15,8,0.160558
15,9,0.029771
15,10,0
15,11,0.027698
15,12,0.019501
15,13,0.05044
15,14,0.050999
15,15,0.04268
15,16,0.15843
15,17,0.018004
15,18,0.006171
16,1,0.089325
16,2,0.042076
16,3,0.04488
